EID,Link,topic
2-s2.0-85051370747,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051370747&doi=10.1088%2f1742-6596%2f1049%2f1%2f012004&partnerID=40&md5=f5ab99a52b00e7673a794f58bd0ada8a,
2-s2.0-85006409377,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85006409377&doi=10.1007%2fs00521-016-2754-1&partnerID=40&md5=c1d3cfdda099203a139dc3bb9324612d,
2-s2.0-85066485688,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066485688&doi=10.1109%2fSCORED.2018.8711186&partnerID=40&md5=bd4c68fe20548a622a68bdb9607312c1,
2-s2.0-85066316284,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066316284&doi=10.1109%2fICCIA.2018.00044&partnerID=40&md5=8a465e77ab3fd8fbefec00dfed430ab3,
2-s2.0-85044960218,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044960218&doi=10.1108%2fCI-03-2017-0024&partnerID=40&md5=54864a696b3b848c37d8335a5c229376,
2-s2.0-85066486499,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066486499&doi=10.1109%2fSCORED.2018.8711151&partnerID=40&md5=070df449cc263ad8eebf2e319522b804,
2-s2.0-85051399270,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051399270&doi=10.1088%2f1742-6596%2f1049%2f1%2f012043&partnerID=40&md5=86dc9bb68d91bd84ec5d9c5008754aee,
2-s2.0-85066468566,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066468566&doi=10.1109%2fSCORED.2018.8710905&partnerID=40&md5=ed4572d0e7b1f707be26499d1aafe2c4,
2-s2.0-85065959265,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065959265&doi=10.1109%2fSPC.2018.8703976&partnerID=40&md5=869bc9b3bb32cec26cfaecc74bd99d35,
2-s2.0-85048502245,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048502245&doi=10.1108%2fBEPAM-09-2017-0078&partnerID=40&md5=4062283dda2226ea3b7cb9174e7e773d,
2-s2.0-85013851974,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85013851974&doi=10.1007%2fs11276-017-1468-3&partnerID=40&md5=076687ae586afff55233281f9c4a14c7,
2-s2.0-85055286500,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055286500&doi=10.1016%2fj.jclepro.2018.04.053&partnerID=40&md5=bccfacafc590632698905109a62cb8c9,
2-s2.0-85034224443,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85034224443&doi=10.1007%2fs11027-017-9767-7&partnerID=40&md5=6071c129cf6aa7ab6056febf7bc6b193,
2-s2.0-85051367781,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051367781&doi=10.1088%2f1742-6596%2f1049%2f1%2f012032&partnerID=40&md5=8c9f703ee13cdc2c88a2793be6d0169b,
2-s2.0-84991261050,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991261050&doi=10.1080%2f03075079.2016.1221918&partnerID=40&md5=2ec7deeadb9499b40bf01dcc9571d043,
2-s2.0-85051373266,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051373266&doi=10.1088%2f1742-6596%2f1049%2f1%2f012099&partnerID=40&md5=04f2d77b1ee085ce9c43754116e85d8a,
2-s2.0-85049935362,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049935362&doi=10.1021%2facs.jced.7b01040&partnerID=40&md5=23cbda9b1d7cf4935c701649fa23f515,
2-s2.0-85044610944,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044610944&doi=10.1016%2fj.ijbiomac.2018.03.095&partnerID=40&md5=6743f90871dfa835de341463c971a112,
2-s2.0-85042583058,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042583058&doi=10.1108%2fSR-11-2017-0238&partnerID=40&md5=299dc041f653a1a81eb8f8247e70abb1,
2-s2.0-85045582080,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045582080&doi=10.1016%2fj.jenvman.2018.03.066&partnerID=40&md5=658356dcc0941605476cdc46bf233975,
2-s2.0-85065963594,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065963594&doi=10.1109%2fSPC.2018.8704162&partnerID=40&md5=265d0f258058afe86f62990fca3b7e7b,
2-s2.0-85049620481,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049620481&doi=10.1080%2f14778238.2018.1474165&partnerID=40&md5=196fd1e62a2aa06335694a41b7ec6220,
2-s2.0-85012862817,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85012862817&doi=10.1080%2f02726351.2016.1276499&partnerID=40&md5=66efc2caa03c8d9abf7b9eb76baaf6f2,
2-s2.0-85037737190,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85037737190&doi=10.1515%2fgps-2017-0021&partnerID=40&md5=928987310d37d86414d3021e49014aae,
2-s2.0-85046808029,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046808029&doi=10.1016%2fj.jallcom.2018.04.280&partnerID=40&md5=52b3264cda0288ca7bb816458a7856af,
2-s2.0-85144171514,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144171514&partnerID=40&md5=71b8b26489a2665db6ab5838d44ab595,
2-s2.0-85050627446,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050627446&doi=10.3390%2fmembranes8030042&partnerID=40&md5=e80c3574826e6678ac19ff634e2f89d6,
2-s2.0-85064164368,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064164368&doi=10.1109%2fSAIN.2018.8673374&partnerID=40&md5=18c8fff2aa7b244892c07f9f19fb3f6b,
2-s2.0-85044504806,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044504806&doi=10.1016%2fj.cej.2018.03.116&partnerID=40&md5=d1a0a84c21f8c5ed40d8fa4fb05709e0,
2-s2.0-85051371817,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051371817&doi=10.1088%2f1742-6596%2f1049%2f1%2f012039&partnerID=40&md5=1780069723669d3d4cfdc9b7771109e3,
2-s2.0-85055347176,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055347176&doi=10.1051%2fmatecconf%2f201818103002&partnerID=40&md5=cef0bd79f598f6581f75086bc9738148,
2-s2.0-85065969846,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065969846&doi=10.1109%2fICICTR.2018.8706867&partnerID=40&md5=78db74005cfcdb7d7cce006af46b529d,
2-s2.0-85065553244,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065553244&doi=10.1109%2fIINTEC.2018.8695290&partnerID=40&md5=be5f283ff14b166cd6aa2f92096b6323,
2-s2.0-85051402919,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051402919&doi=10.1016%2fj.energy.2018.04.184&partnerID=40&md5=3195d081e1a33d38728801e2396a1320,
